,Airline_Name,Source,Destination,Departure_time,Arrival_time,Date of Journey,Number of stops,Duration,Price
0,Go First,New Delhi,Mumbai,06:05,10:20,"Sat, 4 Jun",1 Stop,4h 15m,"8,053"
1,Go First,New Delhi,Mumbai,06:05,15:00,"Sat, 4 Jun",1 Stop,8h 55m,"8,053"
2,SpiceJet,New Delhi,Mumbai,20:00,"10:30
+ 1 day","Sat, 4 Jun",1 Stop,14h 30m,"8,053"
3,IndiGo,New Delhi,Mumbai,06:30,08:35,"Sat, 4 Jun",Non Stop,2h 05m,"8,054"
4,IndiGo,New Delhi,Mumbai,05:30,07:40,"Sat, 4 Jun",Non Stop,2h 10m,"8,054"
5,IndiGo,New Delhi,Mumbai,08:45,11:00,"Sat, 4 Jun",Non Stop,2h 15m,"8,054"
6,IndiGo,New Delhi,Mumbai,09:35,12:00,"Sat, 4 Jun",Non Stop,2h 25m,"8,054"
7,Vistara,New Delhi,Mumbai,06:00,08:00,"Sat, 4 Jun",Non Stop,2h 00m,"8,055"
8,Vistara,New Delhi,Mumbai,07:30,09:45,"Sat, 4 Jun",Non Stop,2h 15m,"8,055"
9,IndiGo,New Delhi,Mumbai,23:35,"01:40
+ 1 day","Sat, 4 Jun",Non Stop,2h 05m,"8,264"
10,Air India,New Delhi,Mumbai,07:00,09:05,"Sat, 4 Jun",Non Stop,2h 05m,"8,265"
11,Air India,New Delhi,Mumbai,08:00,10:10,"Sat, 4 Jun",Non Stop,2h 10m,"8,265"
12,IndiGo,New Delhi,Mumbai,07:20,09:25,"Sat, 4 Jun",Non Stop,2h 05m,"8,684"
13,IndiGo,New Delhi,Mumbai,08:00,10:20,"Sat, 4 Jun",Non Stop,2h 20m,"8,684"
14,IndiGo,New Delhi,Mumbai,21:45,"00:10
+ 1 day","Sat, 4 Jun",Non Stop,2h 25m,"8,894"
15,IndiGo,New Delhi,Mumbai,19:45,21:55,"Sat, 4 Jun",Non Stop,2h 10m,"9,104"
16,Vistara,New Delhi,Mumbai,06:30,"06:15
+ 1 day","Sat, 4 Jun",1 Stop,23h 45m,"9,242"
17,SpiceJet,New Delhi,Mumbai,19:45,22:00,"Sat, 4 Jun",Non Stop,2h 15m,"9,523"
18,Vistara,New Delhi,Mumbai,10:20,12:35,"Sat, 4 Jun",Non Stop,2h 15m,"9,630"
19,Vistara,New Delhi,Mumbai,16:45,19:05,"Sat, 4 Jun",Non Stop,2h 20m,"9,630"
20,Air Asia,New Delhi,Mumbai,04:25,06:35,"Sat, 4 Jun",Non Stop,2h 10m,"9,661"
21,IndiGo,New Delhi,Mumbai,17:00,19:05,"Sat, 4 Jun",Non Stop,2h 05m,"9,944"
22,IndiGo,New Delhi,Mumbai,14:10,16:20,"Sat, 4 Jun",Non Stop,2h 10m,"9,944"
23,IndiGo,New Delhi,Mumbai,08:40,15:55,"Sat, 4 Jun",1 Stop,7h 15m,"10,102"
24,IndiGo,New Delhi,Mumbai,07:20,15:55,"Sat, 4 Jun",1 Stop,8h 35m,"10,102"
25,IndiGo,New Delhi,Mumbai,11:55,13:55,"Sat, 4 Jun",Non Stop,2h 00m,"10,154"
26,IndiGo,New Delhi,Mumbai,10:45,12:50,"Sat, 4 Jun",Non Stop,2h 05m,"10,154"
27,IndiGo,New Delhi,Mumbai,15:25,17:35,"Sat, 4 Jun",Non Stop,2h 10m,"10,154"
28,IndiGo,New Delhi,Mumbai,16:15,18:25,"Sat, 4 Jun",Non Stop,2h 10m,"10,154"
29,IndiGo,New Delhi,Mumbai,18:10,20:25,"Sat, 4 Jun",Non Stop,2h 15m,"10,154"
30,Vistara,New Delhi,Mumbai,15:30,17:40,"Sat, 4 Jun",Non Stop,2h 10m,"10,155"
31,Vistara,New Delhi,Mumbai,19:45,21:55,"Sat, 4 Jun",Non Stop,2h 10m,"10,155"
32,Vistara,New Delhi,Mumbai,17:45,20:05,"Sat, 4 Jun",Non Stop,2h 20m,"10,155"
33,Vistara,New Delhi,Mumbai,18:55,21:15,"Sat, 4 Jun",Non Stop,2h 20m,"10,155"
34,IndiGo,New Delhi,Mumbai,02:00,04:10,"Sat, 4 Jun",Non Stop,2h 10m,"10,364"
35,IndiGo,New Delhi,Mumbai,13:00,21:50,"Sat, 4 Jun",1 Stop,8h 50m,"10,627"
36,Vistara,New Delhi,Mumbai,14:20,16:30,"Sat, 4 Jun",Non Stop,2h 10m,"10,680"
37,IndiGo,New Delhi,Mumbai,21:05,"07:10
+ 1 day","Sat, 4 Jun",1 Stop,10h 05m,"10,732"
38,Vistara,New Delhi,Mumbai,21:20,"06:15
+ 1 day","Sat, 4 Jun",1 Stop,8h 55m,"10,817"
39,Vistara,New Delhi,Mumbai,21:20,"09:40
+ 1 day","Sat, 4 Jun",1 Stop,12h 20m,"10,817"
40,Vistara,New Delhi,Mumbai,21:20,"23:05
+ 1 day","Sat, 4 Jun",1 Stop,25h 45m,"10,817"
41,SpiceJet,New Delhi,Mumbai,16:55,"10:35
+ 1 day","Sat, 4 Jun",1 Stop,17h 40m,"10,851"
42,Vistara,New Delhi,Mumbai,12:50,15:00,"Sat, 4 Jun",Non Stop,2h 10m,"11,205"
43,Vistara,New Delhi,Mumbai,20:40,22:50,"Sat, 4 Jun",Non Stop,2h 10m,"11,205"
44,Air India,New Delhi,Mumbai,05:25,09:20,"Sat, 4 Jun",1 Stop,3h 55m,"11,205"
45,Vistara,New Delhi,Mumbai,18:10,"06:15
+ 1 day","Sat, 4 Jun",1 Stop,12h 05m,"11,342"
46,Vistara,New Delhi,Mumbai,18:10,"09:40
+ 1 day","Sat, 4 Jun",1 Stop,15h 30m,"11,342"
47,Vistara,New Delhi,Mumbai,21:30,23:30,"Sat, 4 Jun",Non Stop,2h 00m,"11,730"
48,Vistara,New Delhi,Mumbai,05:55,15:50,"Sat, 4 Jun",1 Stop,9h 55m,"12,045"
49,IndiGo,New Delhi,Mumbai,05:05,13:20,"Sat, 4 Jun",1 Stop,8h 15m,"12,097"
50,Vistara,New Delhi,Mumbai,11:40,14:00,"Sat, 4 Jun",Non Stop,2h 20m,"12,255"
51,IndiGo,New Delhi,Mumbai,04:45,11:20,"Sat, 4 Jun",1 Stop,6h 35m,"12,307"
52,Vistara,New Delhi,Mumbai,18:10,23:05,"Sat, 4 Jun",1 Stop,4h 55m,"12,392"
53,Vistara,New Delhi,Mumbai,06:30,23:05,"Sat, 4 Jun",1 Stop,16h 35m,"12,392"
54,IndiGo,New Delhi,Mumbai,05:15,13:15,"Sat, 4 Jun",1 Stop,8h 00m,"12,412"
55,Go First,New Delhi,Mumbai,07:00,09:15,"Sat, 4 Jun",Non Stop,2h 15m,"12,519"
56,Go First,New Delhi,Mumbai,12:05,14:20,"Sat, 4 Jun",Non Stop,2h 15m,"12,519"
57,IndiGo,New Delhi,Mumbai,22:15,"05:30
+ 1 day","Sat, 4 Jun",1 Stop,7h 15m,"12,622"
58,IndiGo,New Delhi,Mumbai,22:15,"08:00
+ 1 day","Sat, 4 Jun",1 Stop,9h 45m,"12,622"
59,SpiceJet,New Delhi,Mumbai,07:20,09:35,"Sat, 4 Jun",Non Stop,2h 15m,"12,673"
60,IndiGo,New Delhi,Mumbai,06:30,15:45,"Sat, 4 Jun",1 Stop,9h 15m,"12,832"
61,IndiGo,New Delhi,Mumbai,11:15,16:55,"Sat, 4 Jun",1 Stop,5h 40m,"13,042"
62,IndiGo,New Delhi,Mumbai,20:55,"07:25
+ 1 day","Sat, 4 Jun",1 Stop,10h 30m,"13,042"
63,IndiGo,New Delhi,Mumbai,06:30,11:20,"Sat, 4 Jun",1 Stop,4h 50m,"13,147"
